hpo_id,english_term,chinese_term,english_description,chinese_description
HP:0000037,Male pseudohermaphroditism ,男性假两性畸形,"Hermaphroditism refers to a discrepancy between the morphology of the gonads and that of the external genitalia. In male pseudohermaphroditism, the genotype is male (XY) and the external genitalia are imcompletely virilized, ambiguous, or complete female. If gonads are present, they are testes. ",校对中... 
HP:0000039,Epispadias ,尿道上裂,Displacement of the urethral opening on the dorsal (superior) surface of the penis. ,校对中... 
HP:0000040,Long penis ,长阴茎,Penile length more than 2 SD above the mean for age. ,校对中... 
HP:0000041,Chordee ,阴茎下曲,"Ventral, lateral, or ventrolateral bowing of the shaft and glans penis of more than 30 degrees. ",校对中... 
HP:0000042,Absent external genitalia ,外生殖器缺如,Lack of external genitalia in a male or female individual. ,校对中... 
HP:0000044,Hypogonadotropic hypogonadism ,低促性腺激素性性腺功能减退症,Hypogonadotropic hypogonadism is characterized by reduced function of the gonads (testes in males or ovaries in females) and results from the absence of the gonadal stimulating pituitary hormones: follicle stimulating hormone (FSH) and luteinizing hormone (LH). ,校对中... 
HP:0000045,Abnormality of the scrotum ,阴囊异常, , 
HP:0000046,Scrotal hypoplasia ,阴囊发育不良, , 
HP:0000047,Hypospadias ,尿道下裂,"Abnormal position of urethral meatus on the ventral penile shaft (underside) characterized by displacement of the urethral meatus from the tip of the glans penis to the ventral surface of the penis, scrotum, or perineum. ",校对中... 
HP:0000048,Bifid scrotum ,阴囊对裂,Midline indentation or cleft of the scrotum. ,校对中... 
HP:0000049,Shawl scrotum ,披肩状阴囊,Superior margin of the scrotum superior to the base of the penis. ,校对中... 
HP:0000050,Hypoplastic male external genitalia ,男性外生殖器发育不良,"Underdevelopment of part or all of the male external reproductive organs (which include the penis, the scrotum and the urethra). ",校对中... 
HP:0000051,Perineal hypospadias ,会阴型尿道下裂,Hypospadias with location of the urethral meatus in the perineal region. ,校对中... 
HP:0000053,Macroorchidism ,巨睾,The presence of abnormally large testes. ,校对中... 
HP:0000054,Micropenis ,小阴茎,"Abnormally small penis. At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm. ",校对中... 
HP:0000055,Abnormality of female external genitalia ,女性外生殖器异常,An abnormality of the female external genitalia. ,校对中... 
HP:0000056,Abnormality of the clitoris ,阴蒂异常,An abnormality of the clitoris. ,校对中... 
HP:0000058,Abnormal labia morphology ,阴唇形态异常,"An anomaly of the labia, the externally visible portions of the vulva. ",校对中... 
HP:0000059,Hypoplastic labia majora ,大阴唇发育不良,Undergrowth of the outer labia. ,校对中... 
HP:0000060,Clitoral hypoplasia ,阴蒂发育不良,Developmental hypoplasia of the clitoris. ,校对中... 
HP:0000061,"Ambiguous genitalia, female ",女性外阴性别不明,Ambiguous genitalia in an individual with XX genetic gender. ,校对中... 
HP:0000062,Ambiguous genitalia ,外阴性别不明,A genital phenotype that is not clearly assignable to a single gender. Ambiguous genitalia can be evaluated using the Prader scale: Prader 0: Normal female external genitalia. Prader 1: Female external genitalia with clitoromegaly. Prader 2: Clitoromegaly with partial labial fusion forming a funnel-shaped urogenital sinus. Prader 3: Increased phallic enlargement. Complete labioscrotal fusion forming a urogenital sinus with a single opening. Prader 4: Complete scrotal fusion with urogenital opening at the base or on the shaft of the phallus. Prader 5: Normal male external genitalia. The diagnosis of ambiguous genitalia is made for Prader 1-4. ,校对中... 
HP:0000063,Fused labia minora ,小阴唇融合,Fusion of the labia minora as a result of labial adhesions resulting in vaginal obstruction. ,校对中... 
HP:0000064,Hypoplastic labia minora ,小阴唇发育不良, , 
HP:0000065,Labial hypertrophy ,阴唇肥厚, , 
HP:0000066,Labial hypoplasia ,阴唇发育不良, , 
HP:0000068,Urethral atresia ,尿道闭锁,Congenital anomaly characterized by closure or failure to develop an opening in the urethra. ,校对中... 
HP:0000069,Abnormality of the ureter ,输尿管异常,An abnormality of the ureter. The ureter is the duct by which urine passes from the kidney to the bladder. ,校对中... 
HP:0000070,Ureterocele ,输尿管囊肿,A ureterocele is a congenital saccular dilatation of the distal segment of the ureter. ,校对中... 
HP:0000071,Ureteral stenosis ,输尿管狭窄,"The presence of a stenotic, i.e., constricted ureter. ",校对中... 
HP:0000072,Hydroureter ,输尿管积水,The distention of the ureter with urine. ,校对中... 
HP:0000073,Ureteral duplication ,输尿管重复,"A developmental anomaly characterized by the presence of two, instead of one, ureter connecting a kidney to the bladder. ",校对中... 
HP:0000074,Ureteropelvic junction obstruction ,肾盂输尿管连接部梗阻,Blockage of urine flow from the renal pelvis to the proximal ureter. ,校对中... 
HP:0000075,Renal duplication ,肾重复,"A congenital anomaly of the urinary tract, in which the kidney is duplicated and is drained via two separate renal pelves and ureters. ",校对中... 
HP:0000076,Vesicoureteral reflux ,膀胱输尿管返流,Abnormal (retrograde) movement of urine from the bladder into ureters or kidneys related to inadequacy of the valvular mechanism at the ureterovesicular junction or other causes. ,校对中... 
HP:0000077,Abnormality of the kidney ,肾脏异常,An abnormality of the kidney. ,校对中... 
HP:0000078,Abnormality of the genital system ,生殖系统异常,An abnormality of the genital system. ,校对中... 
HP:0000079,Abnormality of the urinary system ,泌尿系统异常,An abnormality of the urinary system. ,校对中... 
HP:0000080,Abnormality of reproductive system physiology ,生殖系统生理机能异常,An abnormal functionality of the genital system. ,校对中... 
HP:0000081,Duplicated collecting system ,集合管系统重复,"A duplication of the collecting system of the kidney, defined as a kidney with two (instead of, normally, one) pyelocaliceal systems. The pyelocaliceal system is comprised of the renal pelvis and calices. The duplicated renal collecting system can be associated with a single ureter or with double ureters. In the latter case, the two ureters empty separately into the bladder or fuse to form a single ureteral orifice. ",校对中... 
HP:0000083,Renal insufficiency ,肾功能不全,"A reduction in the level of performance of the kidneys in areas of function comprising the concentration of urine, removal of wastes, the maintenance of electrolyte balance, homeostasis of blood pressure, and calcium metabolism. ",校对中... 
HP:0000085,Horseshoe kidney ,马蹄肾,A connection of the right and left kidney by an isthmus of functioning renal parenchyma or fibrous tissue that crosses the midline. ,校对中... 
HP:0000086,Ectopic kidney ,异位肾,A developmental defect in which a kidney is located in an abnormal anatomic position. ,校对中... 
HP:0000089,Renal hypoplasia ,肾发育不全,Hypoplasia of the kidney. ,校对中... 
HP:0000090,Nephronophthisis ,肾结核,Presence of cysts at the corticomedullary junction of the kidney in combination with tubulointerstitial fibrosis. ,校对中... 
HP:0000091,Abnormal renal tubule morphology ,肾小管形态异常,An abnormality of the renal tubules. ,校对中... 
HP:0000092,Renal tubular atrophy ,肾小管萎缩,"The presence of renal tubules with thick redundant basement membranes, or a reduction of greater than 50% in tubular diameter compared to surrounding non-atrophic tubules. ",校对中... 
HP:0000093,Proteinuria ,蛋白尿,Increased levels of protein in the urine. ,校对中... 
HP:0000096,Glomerular sclerosis ,肾小球硬化,Accumulation of scar tissue within the glomerulus. ,校对中... 
HP:0000097,Focal segmental glomerulosclerosis ,局灶节段性肾小球硬化,Segmental accumulation of scar tissue in individual (but not all) glomeruli. ,校对中... 
HP:0000098,Tall stature ,高身材,A height above that which is expected according to age and gender norms. ,校对中... 
HP:0000099,Glomerulonephritis ,肾小球肾炎,Inflammation of the renal glomeruli. ,校对中... 
HP:0000100,Nephrotic syndrome ,肾病综合征,"Nephrotic syndrome is a collection of findings resulting from glomerular dysfunction with an increase in glomerular capillary wall permeability associated with pronounced proteinuria. Nephrotic syndrome refers to the constellation of clinical findings that result from severe renal loss of protein, with Proteinuria and hypoalbuminemia, edema, and hyperlipidemia. ",校对中... 
HP:0000103,Polyuria ,多尿,An increased rate of urine production. ,校对中... 
HP:0000104,Renal agenesis ,肾缺如,"Agenesis, that is, failure of the kidney to develop during embryogenesis and development. ",校对中... 
HP:0000105,Enlarged kidney ,肾脏肿大,An abnormal increase in the size of the kidney. ,校对中... 
HP:0000107,Renal cyst ,肾囊肿,A fluid filled sac in the kidney. ,校对中... 
HP:0000108,Renal corticomedullary cysts ,肾皮髓质交界处囊肿,The presence of multiple cysts at the border between the renal cortex and medulla. ,校对中... 
HP:0000110,Renal dysplasia ,肾发育不良,The presence of developmental dysplasia of the kidney. ,校对中... 
HP:0000111,Renal juxtaglomerular cell hypertrophy/hyperplasia ,肾小球球旁细胞肥大/增生,Increased number and size of the juxtaglomerular cells. ,校对中... 
HP:0000112,Nephropathy ,肾病,A nonspecific term referring to disease or damage of the kidneys. ,校对中... 
HP:0000113,Polycystic kidney dysplasia ,多囊肾性发育不良,The presence of multiple cysts in both kidneys. ,校对中... 
HP:0000114,Proximal tubulopathy ,近端肾小管病,"Dysfunction of the proximal tubule, which is the portion of the duct system of the nephron of the kidney which leads from Bowman's capsule to the loop of Henle. ",校对中... 
HP:0000117,Renal phosphate wasting ,肾源性磷酸盐流失,High urine phosphate in the presence of hypophosphatemia. ,校对中... 
HP:0000119,Abnormality of the genitourinary system ,泌尿生殖系统异常,The presence of any abnormality of the genitourinary system. ,校对中... 
HP:0000121,Nephrocalcinosis ,肾钙质沉着症,Nephrocalcinosis is the deposition of calcium salts in renal parenchyma. ,校对中... 
HP:0000122,Unilateral renal agenesis ,单侧肾缺如,A unilateral form of agenesis of the kidney. ,校对中... 
HP:0000123,Nephritis ,肾炎,The presence of inflammation affecting the kidney. ,校对中... 
HP:0000124,Renal tubular dysfunction ,肾小管功能障碍,"Abnormal function of the renal tubule. The basic functional unit of the kidney, the nephron, consists of a renal corpuscle attached to a renal tubule, with roughly 0.8 to 1.5 nephrons per adult kidney. The functions of the renal tubule include reabsorption of water, electrolytes, glucose, and amino acids and secretion of substances such as uric acid. ",校对中... 
HP:0000125,Pelvic kidney ,盆腔肾,A developmental defect in which a kidney is located in an abnormal anatomic position within the pelvis. ,校对中... 
HP:0000126,Hydronephrosis ,肾积水,Severe distention of the kidney with dilation of the renal pelvis and calices. ,校对中... 
HP:0000127,Renal salt wasting ,肾源性盐流失,A high concentration of one or more electrolytes in the urine in the presence of low serum concentrations of the electrolyte(s). ,校对中... 
HP:0000128,Renal potassium wasting ,肾源性钾流失,High urine potassium in the presence of hypokalemia. ,校对中... 
HP:0000130,Abnormality of the uterus ,子宫异常,An abnormality of the uterus. ,校对中... 
HP:0000131,Uterine leiomyoma ,子宫肌瘤,The presence of a leiomyoma of the uterus. ,校对中... 
HP:0000132,Menorrhagia ,月经过多症,Prolonged and excessive menses at regular intervals in excess of 80 mL or lasting longer than 7 days. ,校对中... 
HP:0000133,Gonadal dysgenesis ,性腺发育不全, , 
HP:0000134,Female hypogonadism ,女性性腺功能减退症,"Decreased functionality of the female gonads, i.e., of the ovary. ",校对中... 
HP:0000135,Hypogonadism ,性腺功能减退症,A decreased functionality of the gonad. ,校对中... 
HP:0000136,Bifid uterus ,双角子宫,The presence of a bifid uterus. ,校对中... 
HP:0000137,Abnormality of the ovary ,卵巢异常,An abnormality of the ovary. ,校对中... 
HP:0000138,Ovarian cyst ,卵巢囊肿,The presence of one or more cysts of the ovary. ,校对中... 
HP:0000139,Uterine prolapse ,子宫脱垂,The presence of prolapse of the uterus. ,校对中... 
HP:0000140,Abnormality of the menstrual cycle ,月经周期异常,An abnormality of the ovulation cycle. ,校对中... 
HP:0000141,Amenorrhea ,闭经,Absence of menses for an interval of time equivalent to a total of more than (or equal to) 3 previous cycles or 6 months. ,校对中... 
HP:0000142,Abnormal vagina morphology ,阴道形态异常,Any structural abnormality of the vagina. ,校对中... 
HP:0000143,Rectovaginal fistula ,直肠阴道瘘,The presence of a fistula between the vagina and the rectum. ,校对中... 
HP:0000144,Decreased fertility ,生育能力下降, , 
HP:0000145,Transverse vaginal septum ,阴道横膈, , 
HP:0000147,Polycystic ovaries ,多囊卵巢, ,校对中... 
HP:0000148,Vaginal atresia ,阴道闭锁,Congenital occlusion of the vagina or adhesion of the walls of the vagina causing occlusion. ,校对中... 
HP:0000149,Ovarian gonadoblastoma ,卵巢性腺母细胞瘤,The presence of a gonadoblastoma of the ovary. ,校对中... 
HP:0000150,Gonadoblastoma ,性腺母细胞瘤,"The presence of a gonadoblastoma, a neoplasm of a gonad that consists of aggregates of germ cells and sex cord elements. ",校对中... 
HP:0000151,Aplasia of the uterus ,子宫发育不全,Aplasia of the uterus. ,校对中... 
HP:0000152,Abnormality of head or neck ,头颈部异常,An abnormality of head and neck. ,校对中... 
HP:0000153,Abnormality of the mouth ,嘴部异常,An abnormality of the mouth. ,校对中... 
HP:0000154,Wide mouth ,宽嘴,"Distance between the oral commissures more than 2 SD above the mean. Alternatively, an apparently increased width of the oral aperture (subjective). ",校对中... 
HP:0000155,Oral ulcer ,口腔溃疡,"Erosion of the mucous mebrane of the mouth with local excavation of the surface, resulting from the sloughing of inflammatory necrotic tissue. ",校对中... 
HP:0000157,Abnormality of the tongue ,舌异常,Any abnormality of the tongue. ,校对中... 
HP:0000158,Macroglossia ,巨舌症,Increased length and width of the tongue. ,校对中... 
HP:0000160,Narrow mouth ,小口畸形,"Distance between the commissures of the mouth more than 2 SD below the mean. Alternatively, an apparently decreased width of the oral aperture (subjective). ",校对中... 
HP:0000161,Median cleft lip ,正中唇裂,A type of cleft lip presenting as a midline (median) gap in the upper lip. ,校对中... 
HP:0000162,Glossoptosis ,舌后坠,"Posterior displacement of the tongue into the pharynx, i.e., a tongue that is mislocalised posteriorly. ",校对中... 
HP:0000163,Abnormal oral cavity morphology ,口腔形态异常,"Abnormality of the oral cavity, i.e., the opening or hollow part of the mouth. ",校对中... 
HP:0000164,Abnormality of the dentition ,牙列异常,Any abnormality of the teeth. ,校对中... 
HP:0000166,Severe periodontitis ,重度牙周炎,A severe form of periodontitis. ,校对中... 
HP:0000168,Abnormality of the gingiva ,牙龈异常,Any abnormality of the gingiva (also known as gums). ,校对中... 
HP:0000169,Gingival fibromatosis ,牙龈纤维瘤病,The presence of fibrosis of the gingiva. ,校对中... 
HP:0000171,Microglossia ,小舌畸形,Decreased length and width of the tongue. ,校对中... 
HP:0000172,Abnormal uvula morphology ,悬雍垂形态异常,"Abnormality of the uvula, the conic projection from the posterior edge of the middle of the soft palate. ",校对中... 
HP:0000174,Abnormal palate morphology ,腭形态异常,"Any abnormality of the palate, i.e., of roof of the mouth. ",校对中... 
HP:0000175,Cleft palate ,腭裂,Cleft palate is a developmental defect of the palate resulting from a failure of fusion of the palatine processes and manifesting as a separation of the roof of the mouth (soft and hard palate). ,校对中... 
HP:0000176,Submucous cleft hard palate ,黏膜下硬裂腭,Hard-palate submucous clefts are characterized by bony defects in the midline of the bony palate that are covered by the mucous membrane of the roof of the mouth. It may be possible to detect a submucous cleft hard palate upon palpation as a notch in the bony palate. ,校对中... 
HP:0000177,Abnormality of upper lip ,上唇异常,An abnormality of the upper lip. ,校对中... 
HP:0000178,Abnormality of lower lip ,下唇异常,An abnormality of the lower lip. ,校对中... 
HP:0000179,Thick lower lip vermilion ,厚下红唇,"Increased thickness of the lower lip, leading to a prominent appearance of the lower lip. The height of the vermilion of the lower lip in the midline is more than 2 SD above the mean. Alternatively, an apparently increased height of the vermilion of the lower lip in the frontal view (subjective). ",校对中... 
HP:0000180,Lobulated tongue ,分叶舌,Multiple indentations and/or elevations on the edge and/or surface of the tongue producing an irregular surface contour. ,校对中... 
HP:0000182,Movement abnormality of the tongue ,舌头运动异常, , 
HP:0000183,Difficulty in tongue movements ,舌活动困难, , 
HP:0000185,Cleft soft palate ,软腭裂,"Cleft of the soft palate (also known as the velum, or muscular palate) as a result of a developmental defect occurring between the 7th and 12th week of pregnancy. Cleft soft palate can cause functional abnormalities of the Eustachian tube with resulting middle ear anomalies and hearing difficulties, as well as speech problems associated with hypernasal speech due to velopharyngeal insufficiency. ",校对中... 
HP:0000187,Broad alveolar ridges ,宽牙槽嵴, , 
HP:0000188,Short upper lip ,上唇短小,Decreased width of the upper lip. ,校对中... 
HP:0000189,Narrow palate ,上腭狭窄,Width of the palate more than 2 SD below the mean (objective) or apparently decreased palatal width (subjective). ,校对中... 
HP:0000190,Abnormal oral frenulum morphology ,口腔系带形态异常,"An abnormality of the lingual frenulum, that is of the small fold of mucous membrane that attaches the tongue to the floor of the mouth, or the presence of accessory frenula in the oral cavity. ",校对中... 
HP:0000191,Accessory oral frenulum ,额外口腔系带,Extra fold of tissue extending from the alveolar ridge to the inner surface of the upper or lower lip. ,校对中... 
HP:0000193,Bifid uvula ,悬雍垂裂,Uvula separated into two parts most easily seen at the tip. ,校对中... 
HP:0000194,Open mouth ,闭口不能,A facial appearance characterized by a permanently or nearly permanently opened mouth. ,校对中... 
HP:0000196,Lower lip pit ,下唇凹陷,"Depression located on the vermilion of the lower lip, usually paramedian. ",校对中... 
HP:0000197,Abnormal parotid gland morphology ,腮腺形态异常,"Any abnormality of the parotid glands, which are the salivary glands that are located in the subcutaneous tissues of the face overlying the mandibular ramus and anterior and inferior to the external ear. ",校对中... 
HP:0000198,Absence of Stensen duct ,无腮腺导管, , 
HP:0000199,Tongue nodules ,舌结节, , 
HP:0000200,Short lingual frenulum ,舌系带过短,The presence of an abnormally short lingual frenulum. ,校对中... 
HP:0000201,Pierre-Robin sequence ,皮埃尔 - 罗宾序列征,"Pierre Robin malformation is a sequence of developmental malformations characterized by micrognathia (mandibular hypoplasia), glossoptosis and cleft palate. ",校对中... 
HP:0000202,Oral cleft ,口裂,"The presence of a cleft in the oral cavity, the two main types of which are cleft lip and cleft palate. In cleft lip, there is the congenital failure of the maxillary and median nasal processes to fuse, forming a groove or fissure in the lip. In cleft palate, there is a congenital failure of the palate to fuse properly, forming a grooved depression or fissure in the roof of the mouth. Clefts of the lip and palate can occur individually or together. It is preferable to code each defect separately. ",校对中... 
HP:0000204,Cleft upper lip ,上唇裂,A gap in the upper lip. This is a congenital defect resulting from nonfusion of tissues of the lip during embryonal development. ,校对中... 
HP:0000205,Pursed lips ,撅起的嘴唇,An abnormality of the appearance of the face caused by constant contraction of the lips leading to a puckered or pursed appearance. ,校对中... 
HP:0000206,Glossitis ,舌炎,Inflammation of the tongue. ,校对中... 
HP:0000207,Triangular mouth ,三角嘴,The presence of a triangular form of the mouth. ,校对中... 
HP:0000211,Trismus ,张口受限,Limitation in the ability to open the mouth. ,校对中... 
HP:0000212,Gingival overgrowth ,牙龈增生,"Hyperplasia of the gingiva (that is, a thickening of the soft tissue overlying the alveolar ridge. The degree of thickening ranges from involvement of the interdental papillae alone to gingival overgrowth covering the entire tooth crown. ",校对中... 
HP:0000214,Lip telangiectasia ,唇部毛细血管扩张,"Telangiectasia (that is, the presence of small dilated superficial blood vessels) of the lips. ",校对中... 
HP:0000215,Thick upper lip vermilion ,厚上红唇,"Height of the vermilion of the upper lip in the midline more than 2 SD above the mean. Alternatively, an apparently increased height of the vermilion of the upper lip in the frontal view (subjective). ",校对中... 
HP:0000216,Broad secondary alveolar ridge ,宽恒牙槽嵴, , 
HP:0000217,Xerostomia ,口腔干燥,Dryness of the mouth due to salivary gland dysfunction. ,校对中... 
HP:0000218,High palate ,高腭,Height of the palate more than 2 SD above the mean (objective) or palatal height at the level of the first permanent molar more than twice the height of the teeth (subjective). ,校对中... 
HP:0000219,Thin upper lip vermilion ,薄上唇红,"Height of the vermilion of the upper lip in the midline more than 2 SD below the mean. Alternatively, an apparently reduced height of the vermilion of the upper lip in the frontal view (subjective). ",校对中... 
HP:0000220,Velopharyngeal insufficiency ,腭咽机能不全,Inability of velopharyngeal sphincter to sufficiently separate the nasal cavity from the oral cavity during speech. ,校对中... 
HP:0000221,Furrowed tongue ,沟裂舌,Accentuation of the grooves on the dorsal surface of the tongue. ,校对中... 
HP:0000222,Gingival hyperkeratosis ,牙龈角化过度,Hyperkeratosis of the gingiva. ,校对中... 
HP:0000224,Hypogeusia ,味觉减退,A decreased ability to perceive flavor. ,校对中... 
HP:0000225,Gingival bleeding ,牙龈出血,Hemorrhage affecting the gingiva. ,校对中... 
HP:0000227,Tongue telangiectasia ,舌毛细血管扩张,"Telangiectasia (that is, the presence of small dilated superficial blood vessels) of the tongue. ",校对中... 
HP:0000230,Gingivitis ,牙龈炎,Inflammation of the gingiva. ,校对中... 
HP:0000232,Everted lower lip vermilion ,下唇唇红外翻,"An abnormal configuration of the lower lip such that it is turned outward i.e., everted, with the Inner aspect of the lower lip vermilion (normally opposing the teeth) being visible in a frontal view. ",校对中... 
HP:0000233,Thin vermilion border ,下红唇薄,"Height of the vermilion of the medial part of the lip more than 2 SD below the mean, or apparently reduced height of the vermilion of the lip in the frontal view. The vermilion is the red part of the lips (and confusingly, the vermilion itself is also often referred to as being equivalent the lips). ",校对中... 
HP:0000234,Abnormality of the head ,头部异常,An abnormality of the head. ,校对中... 
HP:0000235,Abnormality of the fontanelles or cranial sutures ,囟门或颅缝异常,Any abnormality of the fontanelles (the regions covered by a thick membrane that normally ossify in the first two years of life) or the cranial sutures (the fibrous joints in which the articulating bones or cartilages of the skull are connected by sutural ligaments). ,校对中... 
HP:0000237,Small anterior fontanelle ,小前囟,Abnormally decreased size of the anterior fontanelle with respect to age-dependent norms. ,校对中... 
HP:0000238,Hydrocephalus ,脑积水,Hydrocephalus is an active distension of the ventricular system of the brain resulting from inadequate passage of CSF from its point of production within the cerebral ventricles to its point of absorption into the systemic circulation. ,校对中... 
HP:0000239,Large fontanelles ,大囟门,"In newborns, the two frontal bones, two parietal bones, and one occipital bone are joined by fibrous sutures, which form a small posterior fontanelle, and a larger, diamond-shaped anterior fontanelle. These regions allow for the skull to pass the birth canal and for later growth. The fontanelles gradually ossify, whereby the posterior fontanelle usually closes by eight weeks and the anterior fontanelle by the 9th to 16th month of age. Large fontanelles are diagnosed if the fontanelles are larger than age-dependent norms. ",校对中... 
HP:0000242,Parietal bossing ,顶骨隆起,Parietal bossing is a marked prominence in the parietal region. ,校对中... 
HP:0000243,Trigonocephaly ,三角头畸形,"Wedge-shaped, or triangular head, with the apex of the triangle at the midline of the forehead and the base of the triangle at the occiput. ",校对中... 
HP:0000244,Brachyturricephaly ,短尖头畸形,"Abnormal vertical height of the skull and a shortening of its anterior-posterior length, frequently combined with malformations of the occipital region. ",校对中... 
HP:0000246,Sinusitis ,鼻窦炎,"Inflammation of the paranasal sinuses owing to a viral, bacterial, or fungal infection, allergy, or an autoimmune reaction. ",校对中... 
HP:0000248,Brachycephaly ,短头畸形,"An abnormality of skull shape characterized by a decreased anterior-posterior diameter. That is, a cephalic index greater than 81%. Alternatively, an apparently shortened anteroposterior dimension (length) of the head compared to width. ",校对中... 
HP:0000250,Dense calvaria ,颅盖骨密度过高,An abnormal increase of density of the bones making up the calvaria. ,校对中... 
HP:0000252,Microcephaly ,小头畸形,Head circumference below 2 standard deviations below the mean for age and gender. ,校对中... 
HP:0000253,Progressive microcephaly ,渐进性小头畸形,Progressive microcephaly is diagnosed when the head circumference falls progressively behind age- and gender-dependent norms. ,校对中... 
HP:0000256,Macrocephaly ,巨头畸形,"Occipitofrontal (head) circumference greater than 97th centile compared to appropriate, age matched, sex-matched normal standards. Alternatively, a apparently increased size of the cranium. ",校对中... 
HP:0000260,Wide anterior fontanel ,前囟增宽,Enlargement of the anterior fontanelle with respect to age-dependent norms. ,校对中... 
HP:0000262,Turricephaly ,尖头畸形,Tall head relative to width and length. ,校对中... 
HP:0000263,Oxycephaly ,锥形头,"Oxycephaly (from Greek oxus, sharp, and kephalos, head) refers to a conical or pointed shape of the skull. ",校对中... 
HP:0000264,Abnormality of the mastoid ,乳突异常,"An abnormality of the mastoid process, which is the conical prominence projecting from the undersurface of the mastoid portion of the temporal bone. ",校对中... 
